# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Apr 30 02:35:22 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_radestr > 0
# CONSTRAINT:  and pl_massestr > 0)
# CONSTRAINT:  order by pl_rade asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-107 d,Kepler-107,1,1,4,0.86000000,0.06000000,-0.06000000,0,7.70000000,,,1,1.238000,0.029000,-0.029000,0
Kepler-102 f,Kepler-102,1,1,5,0.86100000,0.02200000,-0.02200000,0,4.30000000,,,1,0.803000,0.021000,-0.021000,0
KOI-55 c,KOI-55,1,1,2,0.86700000,,,0,0.65500000,,,0,0.496000,0.002000,-0.002000,0
Kepler-1972 c,Kepler-1972,1,1,2,0.86800000,0.05100000,-0.05000000,0,2.11000000,0.59000000,-0.65000000,0,1.120000,0.030000,-0.030000,0
Kepler-20 e,Kepler-20,0,2,6,0.86800000,0.07400000,-0.09600000,0,3.08000000,,,1,0.912000,0.035000,-0.035000,0
GJ 341 b,GJ 341,1,1,1,0.88000000,0.05000000,-0.05000000,0,4.00000000,,,1,0.480000,0.030000,-0.030000,0
Kepler-102 f,Kepler-102,0,1,5,0.88000000,0.03000000,-0.03000000,0,5.20000000,,,1,0.800000,0.060000,-0.060000,0
L 98-59 b,L 98-59,0,1,5,0.88400000,0.02500000,-0.02500000,0,0.32000000,0.12000000,-0.12000000,0,0.290000,0.020000,-0.020000,0
K2-137 b,K2-137,0,1,1,0.89000000,0.09000000,-0.09000000,0,158.91500000,,,1,0.463000,0.052000,-0.052000,0
HD 21749 c,GJ 143,1,1,2,0.89200000,0.06400000,-0.05800000,0,3.70000000,,,1,0.730000,0.070000,-0.070000,0
Gliese 12 b,Gliese 12,0,1,1,0.90000000,0.10000000,-0.09000000,0,10.00000000,,,1,0.241000,0.006000,-0.006000,0
HD 224018 b,HD 224018,1,1,3,0.91000000,0.64000000,-0.57000000,0,4.10000000,0.80000000,-0.80000000,0,1.013000,0.069000,-0.061000,0
TRAPPIST-1 e,TRAPPIST-1,0,1,7,0.91000000,0.02600000,-0.02700000,0,0.77200000,0.07900000,-0.07500000,0,0.089000,0.007000,-0.007000,0
TRAPPIST-1 e,TRAPPIST-1,0,1,7,0.91800000,0.03900000,-0.03900000,0,0.62000000,0.58000000,-0.58000000,0,0.080200,0.007300,-0.007300,0
TRAPPIST-1 e,TRAPPIST-1,1,1,7,0.92000000,0.01300000,-0.01200000,0,0.69200000,0.02200000,-0.02200000,0,0.089800,0.002300,-0.002300,0
Gliese 12 b,Gliese 12,1,1,1,0.93000000,0.06000000,-0.06000000,0,0.95000000,0.29000000,-0.30000000,0,0.255000,0.013000,-0.013000,0
K2-157 b,K2-157,1,1,3,0.93500000,0.09000000,-0.09000000,0,1.14000000,0.41000000,-0.42000000,0,0.890000,0.029000,-0.029000,0
Kepler-450 d,Kepler-450,0,1,3,0.94080000,0.00180000,-0.00180000,0,17.60000000,9.50000000,-6.70000000,0,1.334000,0.023000,-0.022000,0
Kepler-106 d,Kepler-106,1,1,4,0.95000000,0.13000000,-0.13000000,0,8.10000000,,,1,1.000000,0.060000,-0.060000,0
Kepler-20 f,Kepler-20,1,2,6,0.95200000,0.04700000,-0.08700000,0,1.40000000,,,1,0.929000,0.053000,-0.053000,0
Kepler-68 c,Kepler-68,0,2,4,0.95300000,0.03700000,-0.04200000,0,4.80000000,2.50000000,-3.60000000,0,1.079000,0.051000,-0.051000,0
Gliese 12 b,Gliese 12,0,1,1,0.95800000,0.04600000,-0.04800000,0,3.87000000,,,1,0.241400,0.006000,-0.006000,0
Kepler-68 c,Kepler-68,1,2,4,0.97900000,0.01900000,-0.01900000,0,1.30000000,,,1,1.057000,0.022000,-0.020000,0
LHS 1678 c,LHS 1678,0,2,3,0.98200000,0.06400000,-0.06300000,0,1.40000000,,,1,0.345000,0.014000,-0.014000,0
TOI-5388.01,TOI-5388,1,1,1,0.99000000,0.07000000,-0.06000000,0,2.20000000,,,1,0.292000,0.018000,-0.018000,0
TOI-2322 b,TOI-2322,1,1,2,0.99400000,0.05700000,-0.05900000,0,2.31000000,2.67000000,-1.54000000,0,0.703000,0.014000,-0.017000,0
Kepler-68 c,Kepler-68,0,2,4,1.00000000,0.02000000,-0.02000000,0,7.20000000,,,1,1.080000,0.050000,-0.050000,0
Kepler-595 c,Kepler-595,1,1,2,1.00900000,0.02400000,-0.02400000,0,3.30000000,1.70000000,-1.00000000,0,0.930000,0.059000,-0.059000,0
K2-136 b,K2-136,1,2,3,1.01400000,0.05000000,-0.04900000,0,4.30000000,,,1,0.742000,0.039000,-0.038000,0
K2-415 b,K2-415,1,1,1,1.01500000,0.05100000,-0.00510000,0,7.50000000,,,1,0.163500,0.004100,-0.004100,0
Kepler-114 b,Kepler-114,0,1,3,1.02000000,0.11000000,-0.11000000,0,6.80000000,4.30000000,-3.60000000,0,0.560000,,,0
Kepler-20 f,Kepler-20,0,2,6,1.03000000,0.10000000,-0.13000000,0,14.30000000,,,1,0.912000,0.035000,-0.035000,0
TOI-6008 b,TOI-6008,1,1,1,1.03000000,0.05000000,-0.05000000,0,4.00000000,,,1,0.230000,0.011000,-0.011000,0
LP 791-18 d,LP 791-18,1,1,3,1.03200000,0.04400000,-0.04300000,0,0.91000000,0.19000000,-0.19000000,0,0.139000,0.005000,-0.005000,0
LP 791-18 d,LP 791-18,0,1,3,1.03200000,0.04400000,-0.04300000,0,0.90000000,0.50000000,-0.40000000,0,0.139000,0.005000,-0.005000,0
K2-19 d,K2-19,1,1,3,1.04400000,0.06400000,-0.06400000,0,6.20000000,,,1,0.892000,0.034000,-0.034000,0
TRAPPIST-1 f,TRAPPIST-1,1,1,7,1.04500000,0.01300000,-0.01200000,0,1.03900000,0.03100000,-0.03100000,0,0.089800,0.002300,-0.002300,0
TRAPPIST-1 f,TRAPPIST-1,0,1,7,1.04500000,0.03800000,-0.03800000,0,0.68000000,0.18000000,-0.18000000,0,0.080200,0.007300,-0.007300,0
TRAPPIST-1 f,TRAPPIST-1,0,1,7,1.04600000,0.02900000,-0.03000000,0,0.93400000,0.08000000,-0.07800000,0,0.089000,0.007000,-0.007000,0
Kepler-80 g,Kepler-80,0,1,6,1.05000000,0.22000000,-0.24000000,0,0.06500000,0.04400000,-0.03800000,0,0.730000,0.030000,-0.030000,0
TRAPPIST-1 c,TRAPPIST-1,0,1,7,1.05600000,0.03500000,-0.03500000,0,1.38000000,0.61000000,-0.61000000,0,0.080200,0.007300,-0.007300,0
TOI-6324 b,TOI-6324,1,1,1,1.05900000,0.04100000,-0.04100000,0,1.17000000,0.22000000,-0.22000000,0,0.269000,0.012000,-0.012000,0
Kepler-407 b,Kepler-407,0,1,2,1.07000000,0.02000000,-0.02000000,0,3.20000000,,,1,1.000000,0.060000,-0.060000,0
LTT 1445 A c,LTT 1445 A,0,3,2,1.07000000,0.10000000,-0.07000000,0,1.37000000,0.19000000,-0.19000000,0,0.257000,0.014000,-0.014000,0
TOI-6255 b,TOI-6255,1,1,1,1.07900000,0.06500000,-0.06500000,0,1.44000000,0.14000000,-0.14000000,0,0.353000,0.015000,-0.015000,0
TRAPPIST-1 b,TRAPPIST-1,0,1,7,1.08600000,0.03500000,-0.03500000,0,0.85000000,0.72000000,-0.72000000,0,0.080200,0.007300,-0.007300,0
LHS 1815 b,LHS 1815,1,1,1,1.08800000,0.06400000,-0.06400000,0,1.58000000,0.64000000,-0.60000000,0,0.502000,0.015000,-0.015000,0
LHS 1815 b,LHS 1815,0,1,1,1.08800000,0.06400000,-0.06400000,0,8.70000000,,,1,0.502000,0.015000,-0.015000,0
GJ 3929 b,GJ 3929,1,1,2,1.09000000,0.04000000,-0.04000000,0,1.75000000,0.44000000,-0.45000000,0,0.313000,0.027000,-0.022000,0
TOI-5720 b,TOI-5720,1,1,1,1.09000000,0.07000000,-0.07000000,0,4.30000000,,,1,0.383000,0.019000,-0.019000,0
TRAPPIST-1 c,TRAPPIST-1,0,1,7,1.09500000,0.03000000,-0.03100000,0,1.15600000,0.14200000,-0.13100000,0,0.089000,0.007000,-0.007000,0
TRAPPIST-1 c,TRAPPIST-1,1,1,7,1.09700000,0.01400000,-0.01200000,0,1.30800000,0.05600000,-0.05600000,0,0.089800,0.002300,-0.002300,0
GJ 1132 b,GJ 1132,0,1,2,1.11000000,0.10000000,-0.10000000,0,1.74000000,0.25000000,-0.25000000,0,0.192000,0.022000,-0.022000,0
K2-19 d,K2-19,0,1,3,1.11000000,0.05000000,-0.05000000,0,10.00000000,,,1,0.880000,0.030000,-0.030000,0
K2-19 d,K2-19,0,1,3,1.11000000,0.05000000,-0.05000000,0,10.00000000,,,1,0.880000,0.030000,-0.030000,0
TOI-4552 b,TOI-4552,1,1,1,1.11000000,0.04000000,-0.04000000,0,1.83000000,0.47000000,-0.47000000,0,0.261900,0.006300,-0.006300,0
TRAPPIST-1 b,TRAPPIST-1,1,1,7,1.11600000,0.01400000,-0.01200000,0,1.37400000,0.06900000,-0.06900000,0,0.089800,0.002300,-0.002300,0
Kepler-78 b,Kepler-78,0,2,1,1.12090000,0.11209000,-0.11209000,0,1.96716111,0.53449153,-0.53449153,0,0.840000,0.320000,-0.320000,0
TRAPPIST-1 b,TRAPPIST-1,0,1,7,1.12100000,0.03100000,-0.03200000,0,1.01700000,0.15400000,-0.14300000,0,0.089000,0.007000,-0.007000,0
TRAPPIST-1 g,TRAPPIST-1,0,1,7,1.12700000,0.04100000,-0.04100000,0,1.34000000,0.88000000,-0.88000000,0,0.080200,0.007300,-0.007300,0
TRAPPIST-1 g,TRAPPIST-1,1,1,7,1.12900000,0.01500000,-0.01300000,0,1.32100000,0.03800000,-0.03800000,0,0.089800,0.002300,-0.002300,0
GJ 1132 b,GJ 1132,0,1,2,1.13000000,0.05600000,-0.05600000,0,1.66000000,0.23000000,-0.23000000,0,0.181000,0.019000,-0.019000,0
GJ 9827 c,GJ 9827,1,1,3,1.13000000,0.07000000,-0.05000000,0,1.86000000,0.37000000,-0.39000000,0,0.620000,0.040000,-0.040000,0
KOI-1831 d,Kepler-324,1,1,4,1.13000000,0.05000000,-0.05000000,0,2.23000000,0.50000000,-0.84000000,0,0.901000,0.017000,-0.027000,0
Kepler-128 b,Kepler-128,0,1,2,1.13000000,0.03000000,-0.03000000,0,30.70000000,6.00000000,-6.00000000,0,1.180000,0.070000,-0.070000,0
Kepler-128 b,Kepler-128,0,1,2,1.13000000,0.03000000,-0.03000000,0,42.70000000,14.30000000,-12.30000000,0,1.180000,,,0
Kepler-128 c,Kepler-128,0,1,2,1.13000000,0.03000000,-0.03000000,0,33.30000000,3.30000000,-3.30000000,0,1.180000,0.070000,-0.070000,0
Kepler-128 c,Kepler-128,0,1,2,1.13000000,0.03000000,-0.03000000,0,37.00000000,37.20000000,-25.80000000,0,1.180000,,,0
TOI-1450 A b,TOI-1450 A,1,2,2,1.13000000,0.04300000,-0.04300000,0,1.25800000,0.12800000,-0.12800000,0,0.480000,0.024000,-0.024000,0
HD 23472 f,HD 23472,1,1,5,1.13700000,0.08400000,-0.07700000,0,0.77000000,0.44000000,-0.40000000,0,0.670000,0.030000,-0.030000,0
K2-19 d,K2-19,0,1,3,1.14000000,0.13000000,-0.13000000,0,14.00000000,,,1,0.930000,0.050000,-0.050000,0
LTT 1445 A c,LTT 1445 A,1,3,2,1.14700000,0.05500000,-0.05400000,0,1.54000000,0.20000000,-0.19000000,0,0.257000,0.014000,-0.014000,0
TRAPPIST-1 g,TRAPPIST-1,0,1,7,1.14800000,0.03200000,-0.03300000,0,1.14800000,0.09800000,-0.09500000,0,0.089000,0.007000,-0.007000,0
GJ 3929 b,GJ 3929,0,1,2,1.15000000,0.04000000,-0.03900000,0,1.21000000,0.40000000,-0.42000000,0,0.309000,0.014000,-0.014000,0
TOI-178 b,TOI-178,0,1,6,1.15200000,0.07300000,-0.07000000,0,1.50000000,0.39000000,-0.44000000,0,0.650000,0.027000,-0.029000,0
Kepler-102 d,Kepler-102,1,1,5,1.15400000,0.05800000,-0.05800000,0,3.00000000,1.30000000,-1.30000000,0,0.803000,0.021000,-0.021000,0
GJ 1132 b,GJ 1132,0,1,2,1.16000000,0.11000000,-0.11000000,0,1.62000000,0.55000000,-0.55000000,0,0.181000,0.019000,-0.019000,0
Kepler-339 c,Kepler-339,0,1,3,1.16000000,0.45000000,-0.09000000,0,7.30000000,7.80000000,-6.20000000,0,0.880000,,,0
Kepler-78 b,Kepler-78,0,2,1,1.16000000,0.19000000,-0.14000000,0,8.00000000,,,1,0.810000,0.050000,-0.050000,0
K2-229 b,K2-229,0,1,2,1.16400000,0.06600000,-0.04800000,0,2.59000000,0.43000000,-0.43000000,0,0.837000,0.019000,-0.025000,0
TOI-500 b,TOI-500,1,1,4,1.16600000,0.06100000,-0.05800000,0,1.42000000,0.18000000,-0.18000000,0,0.740000,0.017000,-0.017000,0
LHS 1140 c,LHS 1140,0,1,2,1.16900000,0.03700000,-0.03800000,0,1.76000000,0.17000000,-0.16000000,0,0.191000,0.012000,-0.011000,0
Kepler-102 d,Kepler-102,0,1,5,1.17000000,0.05000000,-0.07000000,0,2.60000000,1.30000000,-1.10000000,0,0.730000,,,0
Kepler-78 b,Kepler-78,0,2,1,1.17300000,0.15900000,-0.08900000,0,1.86000000,0.38000000,-0.25000000,0,0.758000,0.046000,-0.046000,0
TOI-1453 b,TOI-1453,1,2,2,1.17300000,0.05900000,-0.05600000,0,2.32000000,,,1,0.715000,0.035000,-0.035000,0
GJ 1252 b,GJ 1252,0,1,1,1.18000000,0.07800000,-0.07800000,0,1.32000000,0.28000000,-0.28000000,0,0.381000,0.019000,-0.019000,0
Kepler-102 d,Kepler-102,0,1,5,1.18000000,0.04000000,-0.04000000,0,3.80000000,1.80000000,-1.80000000,0,0.800000,0.060000,-0.060000,0
Kepler-327 c,Kepler-327,0,1,3,1.18000000,0.11000000,-0.11000000,0,20.30000000,27.10000000,-17.70000000,0,0.580000,,,0
Kepler-339 d,Kepler-339,0,1,3,1.18000000,0.46000000,-0.09000000,0,14.70000000,14.10000000,-10.00000000,0,0.880000,,,0
K2-111 b,K2-111,0,1,2,1.18400000,0.05600000,-0.03400000,0,5.40000000,2.20000000,-2.10000000,0,0.830000,0.030000,-0.030000,0
KOI-3503 b,KOI-3503,1,1,2,1.19000000,0.24000000,-0.19000000,0,9.20000000,,,1,0.858000,0.022000,-0.019000,0
Kepler-407 b,Kepler-407,1,1,2,1.19000000,0.05000000,-0.05000000,0,1.93000000,0.50000000,-0.50000000,0,0.990000,0.050000,-0.050000,0
Kepler-409 b,Kepler-409,0,1,1,1.19000000,0.03000000,-0.03000000,0,22.00000000,,,1,0.920000,0.060000,-0.060000,0
GJ 1132 b,GJ 1132,1,1,2,1.19151465,0.03811053,-0.04483592,0,1.83704819,0.19069704,-0.18751876,0,0.194500,0.004800,-0.004600,0
GJ 1252 b,GJ 1252,1,1,1,1.19300000,0.07400000,-0.07400000,0,1.32000000,0.28000000,-0.28000000,0,0.381000,0.019000,-0.019000,0
GJ 1252 b,GJ 1252,0,1,1,1.19300000,0.07400000,-0.07400000,0,2.09000000,0.56000000,-0.56000000,0,0.381000,0.019000,-0.019000,0
K2-229 b,K2-229,0,1,2,1.19700000,0.04500000,-0.04800000,0,2.49000000,0.42000000,-0.43000000,0,0.804000,0.038000,-0.048000,0
Kepler-138 c,Kepler-138,0,1,4,1.19700000,0.07000000,-0.07000000,0,1.97000000,1.91200000,-1.12000000,0,0.521000,0.055000,-0.055000,0
TOI-1411 b,TOI-1411,1,1,1,1.19880592,0.04935874,-0.04474058,0,2.00000000,1.20000000,-1.10000000,0,0.604500,0.014800,-0.012900,0
Kepler-409 b,Kepler-409,1,1,1,1.19900000,0.04300000,-0.04300000,0,6.00000000,,,1,0.913000,0.050000,-0.048000,0
Kepler-78 b,Kepler-78,0,2,1,1.20000000,0.09000000,-0.09000000,0,1.87000000,0.27000000,-0.26000000,0,0.830000,0.050000,-0.050000,0
Kepler-78 b,Kepler-78,0,2,1,1.20000000,0.09000000,-0.09000000,0,1.69000000,0.41000000,-0.41000000,0,0.830000,0.050000,-0.050000,0
Kepler-85 e,Kepler-85,0,1,4,1.20000000,0.10000000,-0.10000000,0,0.60000000,0.50000000,-0.40000000,0,0.900000,0.100000,-0.050000,0
TOI-1080 b,TOI-1080,1,1,1,1.20000000,0.05800000,-0.05800000,0,10.70000000,,,1,0.166700,0.004100,-0.004100,0
TOI-178 b,TOI-178,1,1,6,1.20000000,0.04100000,-0.03700000,0,0.96000000,0.70000000,-0.65000000,0,0.647000,0.030000,-0.029000,0
GJ 9827 c,GJ 9827,0,1,3,1.20100000,0.04586000,-0.04586000,0,1.92000000,0.49000000,-0.49000000,0,0.593000,0.018000,-0.018000,0
Kepler-78 b,Kepler-78,1,2,1,1.20100000,0.02800000,-0.02800000,0,1.68000000,0.27000000,-0.27000000,0,0.779000,0.032000,-0.046000,0
TOI-270 b,TOI-270,0,1,3,1.20600000,0.03900000,-0.03900000,0,1.58000000,0.26000000,-0.26000000,0,0.386000,0.008000,-0.008000,0
KOI-3503 c,KOI-3503,1,1,2,1.21000000,0.28000000,-0.09000000,0,10.36000000,,,1,0.858000,0.022000,-0.019000,0
Kepler-415 b,Kepler-415,1,1,2,1.21000000,0.13000000,-0.10000000,0,119.90000000,102.10000000,-87.40000000,0,0.670000,,,0
TOI-1238 b,TOI-1238,1,1,2,1.21000000,0.11000000,-0.10000000,0,3.76000000,1.15000000,-1.07000000,0,0.590000,0.020000,-0.020000,0
K2-32 e,K2-32,1,2,4,1.21200000,0.05200000,-0.04600000,0,2.10000000,1.30000000,-1.10000000,0,0.830000,0.020000,-0.020000,0
Kepler-138 d,Kepler-138,0,1,4,1.21200000,0.07500000,-0.07500000,0,0.64000000,0.67400000,-0.38700000,0,0.521000,0.055000,-0.055000,0
TOI-1776 b,TOI-1776,1,1,1,1.21612741,0.08984660,-0.07715788,0,1.40000000,1.10000000,-1.00000000,0,0.919600,0.032800,-0.031700,0
GJ 357 b,GJ 357,0,1,3,1.21700000,0.08400000,-0.08300000,0,1.84000000,0.31000000,-0.31000000,0,0.342000,0.011000,-0.011000,0
Kepler-203 d,Kepler-203,0,1,3,1.22000000,0.50000000,-0.11000000,0,33.90000000,183.40000000,-33.20000000,0,1.010000,,,0
Kepler-78 b,Kepler-78,0,2,1,1.22800000,0.01800000,-0.01900000,0,1.77000000,0.24000000,-0.25000000,0,0.779000,0.032000,-0.046000,0
Kepler-197 c,Kepler-197,0,2,4,1.23000000,0.04000000,-0.04000000,0,5.30000000,3.30000000,-2.90000000,0,0.920000,,,0
